# scripts/resource-baseline.tsv — baseline de vereditos de sources[].resource
#
# ESTE ARQUIVO E O BASELINE. Nao e uma captura da saida do validador: e a regua,
# escrita a mao a partir da regra de classificacao decidida (ver classificar_recurso
# em scripts/validar-okf.py e o perfil OKF no SCHEMA.md). Por ser dado versionado, e
# nao outra revisao do mesmo codigo, ele nao se anula depois do merge — que e o que
# aconteceria com um harness que lesse o validador de `git show origin/main:`.
#
# Lido por scripts/resource-baseline-check.py, chamado por
# tests/test-resource-baseline.sh.
#
# FORMATO — colunas separadas por TAB, comentarios com '#':
#   @fixture<TAB>file|dir<TAB>caminho     arquivo/diretorio criado na raiz sintetica
#   pass|fail<TAB>valor<TAB>origem        veredito esperado para esse resource
#
# 'fail' = validar_recurso devolve mensagem de erro. 'pass' = devolve None.
# A coluna 'origem' e obrigatoria e nao pode ser vazia: nenhuma linha entra nem
# muda de veredito sem o motivo escrito ao lado dela.
#
# COMO MUDAR ESTE ARQUIVO DE PROPOSITO (afrouxar uma checagem legitimamente)
#   1. Mude a regra: classificar_recurso em scripts/validar-okf.py e o perfil OKF
#      no SCHEMA.md, com a medicao que a justifica.
#   2. Edite AQUI, a mao, uma linha por vez, trocando o veredito E reescrevendo a
#      coluna 'origem' para citar o que autoriza a mudanca.
#   3. O diff mostra exatamente quantos vereditos afrouxaram. E esse numero que o
#      revisor confere contra a regra.
#
# NAO EXISTE --update, --bless NEM REGENERADOR, e a ausencia e deliberada: no
# instante em que recarimbar a saida atual custa um comando, afrouxar quatro
# valores passa a custar o mesmo que afrouxar um, e o diff deixa de dizer quanto
# a regua andou.
#
# Os quatro valores que regrediram de fato na rodada 1 da j-20260903-08 sao
# canarios e estao fixados em CANARIOS, dentro de resource-baseline-check.py:
# apaga-los daqui reprova o script.

# --- fixtures: o que existe na raiz sintetica durante a checagem ---
@fixture	file	raw/existe-okf.md
@fixture	file	anexos/existe-okf.md
@fixture	file	raw/meetings/notas com espaco existente.md
@fixture	file	wiki/_meta/existe.md
@fixture	dir	raw/dir-existente

# --- Caminhos sob prefixo conhecido, inexistentes — o que o validador sempre reprovou ---
fail	raw/x.md	harness j-20260903-08; checagem original da lista de prefixos
fail	wiki/nao/existe.md	harness j-20260903-08; checagem original da lista de prefixos
fail	raw/meetings/notas de reuniao.md	CANARIO — afrouxado na rodada 1 da j-20260903-08; cenario A8
fail	wiki/_meta/arquivo com espaco.md	CANARIO — afrouxado na rodada 1 da j-20260903-08; cenario A8b
fail	raw/2026 Q3/notas.md	CANARIO — afrouxado na rodada 1 da j-20260903-08; cenario A8b
fail	raw/notas do dia	CANARIO — afrouxado na rodada 1 da j-20260903-08; cenario A8b
fail	raw/agents/documento de exemplo com espaco.md	sintetico: caminho sob raw/ com espaco no nome, inexistente; fecha a classe de arquivo que raw/ guarda com espaco

# --- Typos de prefixo — o defeito que a j-20260903-08 corrigiu (alternativa A) ---
fail	rw/meetings/x.md	laudo j-20260903-x6; cenario A1 da regra de classificacao
fail	raws/notas.md	laudo j-20260903-x6; typo de prefixo
fail	sources/foo.md	laudo j-20260903-x6; prefixo plausivel fora da lista
fail	rw/notas do dia.md	harness j-20260903-08; typo de prefixo COM espaco
fail	rw2/notas.md	o proximo typo que uma lista de prefixos deixaria escapar
fail	meetings/notas.md	prefixo de subpasta escrito sem raw/

# --- Sem barra: a extensao decide se ha caminho a checar ---
fail	notas-que-nao-existem.md	cenario A1b da regra de classificacao
fail	notas.md	harness j-20260903-08; APERTOU em relacao a lista de prefixos, que ignorava
fail	rw meetings x.md	extensao sem barra e com espaco; fixa a classificacao observada
pass	rw meetings x	sem barra e sem extensao: descritor
